           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.1      0000/0400      0075/0090      0.01000        4.62126        4.62147        3.39958        0.03125
            0.1      0000/0400      0076/0090      0.01000        4.62072        4.62095        3.84072        0.09375
            0.1      0000/0400      0077/0090      0.01000        4.62059        4.62085        4.21408        0.06250
            0.1      0000/0400      0078/0090      0.01000        4.62213        4.62234        3.55864        0.09375
            0.1      0000/0400      0079/0090      0.01000        4.61979        4.62002        3.78817        0.03125
            0.1      0000/0400      0080/0090      0.01000        4.62223        4.62247        3.98257        0.03125
            0.1      0000/0400      0081/0090      0.01000        4.61981        4.62003        3.51066        0.06250
            0.1      0000/0400      0082/0090      0.01000        4.61938        4.61961        3.60530        0.03125
            0.1      0000/0400      0083/0090      0.01000        4.61744        4.61766        3.60004        0.06250
            0.1      0000/0400      0084/0090      0.01000        4.62189        4.62213        3.84003        0.15625
            0.1      0000/0400      0085/0090      0.01000        4.61990        4.62016        4.33454        0.12500
            0.1      0000/0400      0086/0090      0.01000        4.61959        4.61984        4.16279        0.06250
            0.1      0000/0400      0087/0090      0.01000        4.61787        4.61809        3.73057        0.06250
            0.2      0000/0400      0088/0090      0.01000        4.61990        4.62014        3.95393        0.06250
            0.2      0000/0400      0089/0090      0.01000        4.62002        4.62026        3.87410        0.12500
            0.2      0001/0400      0000/0090      0.01000        4.61962        4.61986        3.99283        0.06250
            0.2      0001/0400      0001/0090      0.01000        4.62125        4.62147        3.59073        0.12500
            0.2      0001/0400      0002/0090      0.01000        4.61970        4.61996        4.24034        0.03125
            0.2      0001/0400      0003/0090      0.01000        4.62030        4.62056        4.30389        0.03125
            0.2      0001/0400      0004/0090      0.01000        4.61921        4.61944        3.77198        0.09375
            0.2      0001/0400      0005/0090      0.01000        4.61998        4.62021        3.78079        0.03125
            0.2      0001/0400      0006/0090      0.01000        4.62244        4.62266        3.59472        0.06250
            0.2      0001/0400      0007/0090      0.01000        4.62195        4.62217        3.58497        0.06250
            0.2      0001/0400      0008/0090      0.01000        4.61921        4.61946        4.08473        0.09375
            0.2      0001/0400      0009/0090      0.01000        4.62022        4.62046        3.98181        0.00000
            0.2      0001/0400      0010/0090      0.01000        4.61810        4.61838        4.61327        0.00000
            0.2      0001/0400      0011/0090      0.01000        4.61959        4.61982        3.63954        0.06250
            0.2      0001/0400      0012/0090      0.01000        4.62242        4.62262        3.27448        0.12500
            0.3      0001/0400      0013/0090      0.01000        4.61937        4.61962        4.16993        0.03125
            0.3      0001/0400      0014/0090      0.01000        4.61690        4.61713        3.86077        0.00000
            0.3      0001/0400      0015/0090      0.01000        4.61839        4.61863        3.97352        0.15625
            0.3      0001/0400      0016/0090      0.01000        4.62009        4.62034        3.98077        0.12500
            0.3      0001/0400      0017/0090      0.01000        4.62140        4.62165        3.99764        0.09375
            0.3      0001/0400      0018/0090      0.01000        4.62053        4.62080        4.43439        0.09375
            0.3      0001/0400      0019/0090      0.01000        4.61955        4.61976        3.31671        0.09375
            0.3      0001/0400      0020/0090      0.01000        4.62005        4.62029        3.87694        0.06250
            0.3      0001/0400      0021/0090      0.01000        4.61848        4.61871        3.72354        0.06250
            0.3      0001/0400      0022/0090      0.01000        4.61814        4.61841        4.50814        0.00000
            0.3      0001/0400      0023/0090      0.01000        4.62064        4.62093        4.77162        0.00000
            0.3      0001/0400      0024/0090      0.01000        4.62171        4.62196        4.10556        0.06250
            0.3      0001/0400      0025/0090      0.01000        4.61929        4.61951        3.65668        0.00000
            0.3      0001/0400      0026/0090      0.01000        4.62034        4.62057        3.66965        0.06250
            0.3      0001/0400      0027/0090      0.01000        4.62208        4.62232        3.99079        0.09375
            0.3      0001/0400      0028/0090      0.01000        4.62212        4.62237        4.00560        0.03125
            0.3      0001/0400      0029/0090      0.01000        4.62218        4.62242        4.06296        0.03125
            0.3      0001/0400      0030/0090      0.01000        4.61974        4.61996        3.58484        0.06250
            0.3      0001/0400      0031/0090      0.01000        4.61938        4.61964        4.38429        0.00000
            0.3      0001/0400      0032/0090      0.01000        4.62432        4.62456        3.87054        0.06250
            0.3      0001/0400      0033/0090      0.01000        4.62099        4.62123        3.97301        0.09375
            0.3      0001/0400      0034/0090      0.01000        4.61951        4.61979        4.61740        0.09375
            0.3      0001/0400      0035/0090      0.01000        4.62066        4.62090        4.00410        0.06250
            0.3      0001/0400      0036/0090      0.01000        4.62092        4.62118        4.14461        0.03125
            0.3      0001/0400      0037/0090      0.01000        4.61900        4.61927        4.36725        0.09375
            0.3      0001/0400      0038/0090      0.01000        4.62067        4.62091        3.84896        0.03125
            0.3      0001/0400      0039/0090      0.01000        4.62442        4.62467        4.08324        0.06250
            0.3      0001/0400      0040/0090      0.01000        4.61972        4.61994        3.60590        0.09375
            0.3      0001/0400      0041/0090      0.01000        4.61870        4.61897        4.40710        0.00000
            0.3      0001/0400      0042/0090      0.01000        4.62010        4.62032        3.60715        0.06250
            0.3      0001/0400      0043/0090      0.01000        4.62284        4.62307        3.72760        0.09375
            0.3      0001/0400      0044/0090      0.01000        4.62294        4.62317        3.79199        0.03125
            0.3      0001/0400      0045/0090      0.01000        4.61885        4.61911        4.31728        0.06250
            0.3      0001/0400      0046/0090      0.01000        4.62127        4.62150        3.77044        0.09375
            0.3      0001/0400      0047/0090      0.01000        4.62047        4.62078        5.06752        0.06250
            0.3      0001/0400      0048/0090      0.01000        4.62060        4.62081        3.47648        0.12500
            0.3      0001/0400      0049/0090      0.01000        4.62102        4.62123        3.42744        0.12500
            0.3      0001/0400      0050/0090      0.01000        4.61929        4.61952        3.74988        0.09375
            0.3      0001/0400      0051/0090      0.01000        4.62249        4.62273        3.80788        0.09375
            0.3      0001/0400      0052/0090      0.01000        4.62180        4.62204        3.99398        0.06250
            0.3      0001/0400      0053/0090      0.01000        4.61922        4.61945        3.75105        0.06250
            0.3      0001/0400      0054/0090      0.01000        4.62119        4.62141        3.58648        0.09375
            0.3      0001/0400      0055/0090      0.01000        4.62297        4.62324        4.36273        0.06250
            0.3      0001/0400      0056/0090      0.01000        4.62162        4.62184        3.61127        0.06250
            0.3      0001/0400      0057/0090      0.01000        4.62037        4.62060        3.80198        0.09375
            0.3      0001/0400      0058/0090      0.01000        4.62042        4.62064        3.65246        0.06250
            0.3      0001/0400      0059/0090      0.01000        4.61898        4.61923        4.10120        0.00000
            0.3      0001/0400      0060/0090      0.01000        4.62291        4.62317        4.25477        0.00000
            0.3      0001/0400      0061/0090      0.01000        4.62152        4.62175        3.81032        0.09375
            0.3      0001/0400      0062/0090      0.01000        4.62208        4.62231        3.70129        0.03125
            0.3      0001/0400      0063/0090      0.01000        4.62008        4.62033        4.02093        0.09375
            0.3      0001/0400      0064/0090      0.01000        4.62257        4.62280        3.70657        0.12500
            0.3      0001/0400      0065/0090      0.01000        4.62263        4.62286        3.83027        0.09375
            0.3      0001/0400      0066/0090      0.01000        4.61971        4.61995        3.82418        0.03125
            0.3      0001/0400      0067/0090      0.01000        4.62306        4.62329        3.87812        0.00000
            0.3      0001/0400      0068/0090      0.01000        4.62340        4.62362        3.60068        0.06250
            0.3      0001/0400      0069/0090      0.01000        4.62390        4.62415        4.14140        0.09375
            0.3      0001/0400      0070/0090      0.01000        4.62021        4.62050        4.84268        0.09375
            0.3      0001/0400      0071/0090      0.01000        4.62375        4.62397        3.63733        0.06250
            0.3      0001/0400      0072/0090      0.01000        4.62130        4.62151        3.47965        0.09375
            0.3      0001/0400      0073/0090      0.01000        4.61911        4.61937        4.15609        0.12500
            0.3      0001/0400      0074/0090      0.01000        4.62013        4.62038        4.07539        0.06250
            0.3      0001/0400      0075/0090      0.01000        4.62216        4.62243        4.32840        0.03125
            0.3      0001/0400      0076/0090      0.01000        4.61987        4.62018        4.96293        0.12500
            0.4      0001/0400      0077/0090      0.01000        4.62085        4.62110        4.09972        0.03125
            0.4      0001/0400      0078/0090      0.01000        4.62062        4.62087        4.20703        0.00000
            0.4      0001/0400      0079/0090      0.01000        4.62424        4.62446        3.56346        0.15625
            0.4      0001/0400      0080/0090      0.01000        4.62311        4.62333        3.71557        0.03125
            0.4      0001/0400      0081/0090      0.01000        4.62191        4.62219        4.58956        0.00000
            0.4      0001/0400      0082/0090      0.01000        4.62072        4.62097        4.14408        0.03125
            0.4      0001/0400      0083/0090      0.01000        4.62230        4.62255        3.94637        0.03125
            0.4      0001/0400      0084/0090      0.01000        4.62231        4.62252        3.37148        0.12500
            0.4      0001/0400      0085/0090      0.01000        4.62276        4.62299        3.88201        0.06250
            0.4      0001/0400      0086/0090      0.01000        4.62121        4.62144        3.71860        0.06250
            0.4      0001/0400      0087/0090      0.01000        4.62349        4.62371        3.63988        0.09375
            0.4      0001/0400      0088/0090      0.01000        4.62341        4.62365        3.93723        0.06250
            0.4      0001/0400      0089/0090      0.01000        4.62504        4.62530        4.22957        0.15625
            0.4      0002/0400      0000/0090      0.01000        4.62343        4.62366        3.73569        0.00000
            0.4      0002/0400      0001/0090      0.01000        4.62116        4.62141        4.10808        0.09375
            0.4      0002/0400      0002/0090      0.01000        4.62345        4.62367        3.61859        0.03125
            0.4      0002/0400      0003/0090      0.01000        4.62492        4.62518        4.28715        0.00000
            0.4      0002/0400      0004/0090      0.01000        4.62766        4.62790        3.93916        0.06250
            0.4      0002/0400      0005/0090      0.01000        4.62382        4.62407        4.15887        0.03125
            0.4      0002/0400      0006/0090      0.01000        4.62370        4.62396        4.26851        0.03125
            0.4      0002/0400      0007/0090      0.01000        4.61890        4.61912        3.67950        0.03125
            0.4      0002/0400      0008/0090      0.01000        4.62646        4.62668        3.60433        0.06250
            0.4      0002/0400      0009/0090      0.01000        4.62110        4.62136        4.22638        0.12500
            0.4      0002/0400      0010/0090      0.01000        4.62405        4.62428        3.74880        0.06250
            0.4      0002/0400      0011/0090      0.01000        4.62326        4.62353        4.55258        0.06250
            0.4      0002/0400      0012/0090      0.01000        4.62290        4.62317        4.47418        0.00000
            0.4      0002/0400      0013/0090      0.01000        4.62168        4.62192        3.90609        0.00000
            0.4      0002/0400      0014/0090      0.01000        4.62625        4.62647        3.63296        0.00000
            0.4      0002/0400      0015/0090      0.01000        4.62114        4.62141        4.37210        0.06250
            0.4      0002/0400      0016/0090      0.01000        4.62030        4.62053        3.88819        0.09375
            0.4      0002/0400      0017/0090      0.01000        4.61902        4.61929        4.40963        0.00000
            0.4      0002/0400      0018/0090      0.01000        4.62298        4.62322        3.91605        0.00000
            0.4      0002/0400      0019/0090      0.01000        4.62184        4.62208        3.94258        0.03125
            0.4      0002/0400      0020/0090      0.01000        4.61995        4.62020        4.02431        0.06250
            0.5      0002/0400      0021/0090      0.01000        4.62171        4.62198        4.42324        0.03125
            0.5      0002/0400      0022/0090      0.01000        4.62338        4.62359        3.37572        0.03125
            0.5      0002/0400      0023/0090      0.01000        4.62103        4.62131        4.69937        0.06250
            0.5      0002/0400      0024/0090      0.01000        4.62014        4.62041        4.32228        0.03125
            0.5      0002/0400      0025/0090      0.01000        4.62024        4.62050        4.31756        0.03125
            0.5      0002/0400      0026/0090      0.01000        4.62532        4.62554        3.54115        0.03125
            0.5      0002/0400      0027/0090      0.01000        4.62098        4.62123        3.99897        0.06250
            0.5      0002/0400      0028/0090      0.01000        4.62279        4.62314        5.75626        0.06250
            0.5      0002/0400      0029/0090      0.01000        4.62062        4.62089        4.36355        0.03125
            0.5      0002/0400      0030/0090      0.01000        4.62019        4.62045        4.31528        0.03125
            0.5      0002/0400      0031/0090      0.01000        4.62664        4.62687        3.71101        0.03125
            0.5      0002/0400      0032/0090      0.01000        4.61977        4.62000        3.77715        0.09375
            0.5      0002/0400      0033/0090      0.01000        4.62436        4.62460        3.94173        0.15625
            0.5      0002/0400      0034/0090      0.01000        4.61824        4.61854        5.00117        0.00000
            0.5      0002/0400      0035/0090      0.01000        4.61954        4.61980        4.21118        0.06250
            0.5      0002/0400      0036/0090      0.01000        4.61771        4.61793        3.60216        0.09375
            0.5      0002/0400      0037/0090      0.01000        4.62508        4.62530        3.61154        0.06250
            0.5      0002/0400      0038/0090      0.01000        4.62034        4.62060        4.37805        0.09375
            0.5      0002/0400      0039/0090      0.01000        4.62666        4.62688        3.56549        0.12500
            0.5      0002/0400      0040/0090      0.01000        4.62630        4.62650        3.26472        0.06250
            0.5      0002/0400      0041/0090      0.01000        4.62039        4.62062        3.84269        0.09375
            0.5      0002/0400      0042/0090      0.01000        4.61903        4.61929        4.24913        0.00000
            0.5      0002/0400      0043/0090      0.01000        4.62378        4.62403        4.05977        0.03125
            0.5      0002/0400      0044/0090      0.01000        4.62595        4.62618        3.81394        0.06250
            0.5      0002/0400      0045/0090      0.01000        4.62014        4.62036        3.56829        0.21875
            0.5      0002/0400      0046/0090      0.01000        4.62600        4.62621        3.43311        0.06250
            0.5      0002/0400      0047/0090      0.01000        4.62187        4.62211        3.92714        0.09375
            0.5      0002/0400      0048/0090      0.01000        4.62279        4.62301        3.74347        0.12500
            0.5      0002/0400      0049/0090      0.01000        4.62595        4.62619        3.91419        0.03125
            0.5      0002/0400      0050/0090      0.01000        4.62042        4.62068        4.25136        0.03125
            0.5      0002/0400      0051/0090      0.01000        4.62237        4.62258        3.50993        0.06250
            0.5      0002/0400      0052/0090      0.01000        4.62498        4.62521        3.72488        0.03125
            0.5      0002/0400      0053/0090      0.01000        4.62067        4.62093        4.25320        0.00000
            0.5      0002/0400      0054/0090      0.01000        4.62162        4.62185        3.70130        0.06250
            0.5      0002/0400      0055/0090      0.01000        4.62195        4.62217        3.58895        0.06250
            0.5      0002/0400      0056/0090      0.01000        4.62083        4.62105        3.74092        0.09375
            0.5      0002/0400      0057/0090      0.01000        4.62311        4.62334        3.78426        0.09375
            0.5      0002/0400      0058/0090      0.01000        4.62224        4.62252        4.59614        0.03125
            0.5      0002/0400      0059/0090      0.01000        4.62284        4.62315        5.14614        0.00000
            0.5      0002/0400      0060/0090      0.01000        4.61881        4.61905        3.91937        0.06250
            0.5      0002/0400      0061/0090      0.01000        4.62076        4.62098        3.56534        0.12500
            0.5      0002/0400      0062/0090      0.01000        4.62273        4.62295        3.59799        0.09375
            0.5      0002/0400      0063/0090      0.01000        4.62287        4.62315        4.55849        0.06250
            0.5      0002/0400      0064/0090      0.01000        4.61986        4.62008        3.73400        0.06250
            0.5      0002/0400      0065/0090      0.01000        4.61985        4.62006        3.41612        0.03125
            0.5      0002/0400      0066/0090      0.01000        4.62254        4.62276        3.50490        0.12500
            0.5      0002/0400      0067/0090      0.01000        4.61953        4.61975        3.65473        0.12500
            0.5      0002/0400      0068/0090      0.01000        4.62023        4.62044        3.32404        0.09375
