           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.1      0000/0400      0075/0090      0.01000        4.62972        4.62995        3.77614        0.06250
            0.1      0000/0400      0076/0090      0.01000        4.63166        4.63188        3.65295        0.09375
            0.1      0000/0400      0077/0090      0.01000        4.63330        4.63353        3.75859        0.06250
            0.1      0000/0400      0078/0090      0.01000        4.63112        4.63135        3.88877        0.09375
            0.1      0000/0400      0079/0090      0.01000        4.63074        4.63100        4.23679        0.03125
            0.1      0000/0400      0080/0090      0.01000        4.62912        4.62933        3.46188        0.06250
            0.1      0000/0400      0081/0090      0.01000        4.63304        4.63327        3.74293        0.06250
            0.1      0000/0400      0082/0090      0.01000        4.62899        4.62925        4.35779        0.03125
            0.1      0000/0400      0083/0090      0.01000        4.63304        4.63329        4.01658        0.09375
            0.1      0000/0400      0084/0090      0.01000        4.63026        4.63052        4.16090        0.06250
            0.1      0000/0400      0085/0090      0.01000        4.63066        4.63089        3.81074        0.06250
            0.1      0000/0400      0086/0090      0.01000        4.63000        4.63025        4.01150        0.00000
            0.1      0000/0400      0087/0090      0.01000        4.62827        4.62850        3.76342        0.09375
            0.1      0000/0400      0088/0090      0.01000        4.62945        4.62973        4.52729        0.03125
            0.2      0000/0400      0089/0090      0.01000        4.63586        4.63606        3.37548        0.09375
            0.2      0001/0400      0000/0090      0.01000        4.63121        4.63149        4.52763        0.06250
            0.2      0001/0400      0001/0090      0.01000        4.63234        4.63264        4.86707        0.00000
            0.2      0001/0400      0002/0090      0.01000        4.62995        4.63021        4.26814        0.03125
            0.2      0001/0400      0003/0090      0.01000        4.63324        4.63355        5.04260        0.00000
            0.2      0001/0400      0004/0090      0.01000        4.63084        4.63108        3.97971        0.03125
            0.2      0001/0400      0005/0090      0.01000        4.63214        4.63239        4.04811        0.03125
            0.2      0001/0400      0006/0090      0.01000        4.63340        4.63362        3.71321        0.06250
            0.2      0001/0400      0007/0090      0.01000        4.63213        4.63238        4.13391        0.00000
            0.2      0001/0400      0008/0090      0.01000        4.63333        4.63367        5.54439        0.00000
            0.2      0001/0400      0009/0090      0.01000        4.63303        4.63326        3.68054        0.06250
            0.2      0001/0400      0010/0090      0.01000        4.63340        4.63366        4.14096        0.06250
            0.2      0001/0400      0011/0090      0.01000        4.63262        4.63285        3.71660        0.15625
            0.2      0001/0400      0012/0090      0.01000        4.63519        4.63549        4.91923        0.06250
            0.2      0001/0400      0013/0090      0.01000        4.63110        4.63136        4.35023        0.09375
            0.2      0001/0400      0014/0090      0.01000        4.63034        4.63056        3.69060        0.12500
