           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.1      0000/0400      0075/0090      0.01000        4.61119        4.61146        4.45634        0.03125
            0.1      0000/0400      0076/0090      0.01000        4.61040        4.61063        3.87047        0.03125
            0.1      0000/0400      0077/0090      0.01000        4.60988        4.61011        3.75295        0.03125
            0.1      0000/0400      0078/0090      0.01000        4.61225        4.61252        4.37104        0.06250
            0.1      0000/0400      0079/0090      0.01000        4.60953        4.60975        3.68031        0.06250
            0.1      0000/0400      0080/0090      0.01000        4.61008        4.61032        3.91813        0.09375
            0.1      0000/0400      0081/0090      0.01000        4.60779        4.60802        3.86140        0.03125
            0.1      0000/0400      0082/0090      0.01000        4.60771        4.60793        3.69227        0.09375
            0.1      0000/0400      0083/0090      0.01000        4.61241        4.61263        3.67016        0.03125
            0.1      0000/0400      0084/0090      0.01000        4.61193        4.61215        3.64447        0.03125
            0.1      0000/0400      0085/0090      0.01000        4.60940        4.60963        3.70830        0.09375
            0.1      0000/0400      0086/0090      0.01000        4.61200        4.61222        3.60025        0.09375
            0.1      0000/0400      0087/0090      0.01000        4.61184        4.61211        4.44235        0.03125
            0.2      0000/0400      0088/0090      0.01000        4.60973        4.60999        4.34645        0.00000
            0.2      0000/0400      0089/0090      0.01000        4.60977        4.61001        3.86529        0.00000
            0.2      0001/0400      0000/0090      0.01000        4.61269        4.61290        3.52564        0.03125
            0.2      0001/0400      0001/0090      0.01000        4.61098        4.61122        3.87337        0.06250
            0.2      0001/0400      0002/0090      0.01000        4.61031        4.61058        4.34729        0.03125
            0.2      0001/0400      0003/0090      0.01000        4.61275        4.61298        3.63789        0.12500
            0.2      0001/0400      0004/0090      0.01000        4.61298        4.61321        3.81433        0.12500
            0.2      0001/0400      0005/0090      0.01000        4.61166        4.61191        4.12626        0.09375
            0.2      0001/0400      0006/0090      0.01000        4.61567        4.61598        5.12011        0.06250
            0.2      0001/0400      0007/0090      0.01000        4.61508        4.61532        3.97050        0.06250
            0.2      0001/0400      0008/0090      0.01000        4.61440        4.61463        3.83601        0.00000
            0.2      0001/0400      0009/0090      0.01000        4.61188        4.61212        3.96067        0.03125
            0.2      0001/0400      0010/0090      0.01000        4.61448        4.61471        3.71236        0.00000
            0.2      0001/0400      0011/0090      0.01000        4.61299        4.61326        4.50657        0.00000
            0.2      0001/0400      0012/0090      0.01000        4.61280        4.61304        4.02159        0.03125
            0.2      0001/0400      0013/0090      0.01000        4.61062        4.61086        3.92825        0.09375
            0.2      0001/0400      0014/0090      0.01000        4.61667        4.61699        5.21119        0.06250
            0.2      0001/0400      0015/0090      0.01000        4.61355        4.61380        4.07332        0.03125
            0.2      0001/0400      0016/0090      0.01000        4.61411        4.61439        4.62829        0.00000
            0.2      0001/0400      0017/0090      0.01000        4.61163        4.61187        3.93774        0.00000
            0.2      0001/0400      0018/0090      0.01000        4.61478        4.61501        3.68874        0.09375
            0.2      0001/0400      0019/0090      0.01000        4.61459        4.61481        3.56630        0.09375
            0.2      0001/0400      0020/0090      0.01000        4.61211        4.61234        3.68423        0.21875
            0.2      0001/0400      0021/0090      0.01000        4.61101        4.61126        4.08601        0.09375
            0.2      0001/0400      0022/0090      0.01000        4.61197        4.61222        4.07659        0.06250
            0.2      0001/0400      0023/0090      0.01000        4.61286        4.61308        3.64128        0.09375
            0.2      0001/0400      0024/0090      0.01000        4.61143        4.61170        4.27148        0.03125
            0.2      0001/0400      0025/0090      0.01000        4.61293        4.61321        4.56822        0.06250
            0.2      0001/0400      0026/0090      0.01000        4.61002        4.61030        4.58119        0.03125
            0.2      0001/0400      0027/0090      0.01000        4.61283        4.61307        4.05104        0.03125
            0.2      0001/0400      0028/0090      0.01000        4.61287        4.61314        4.56358        0.00000
            0.2      0001/0400      0029/0090      0.01000        4.61028        4.61051        3.72073        0.09375
            0.2      0001/0400      0030/0090      0.01000        4.61274        4.61296        3.60263        0.09375
            0.2      0001/0400      0031/0090      0.01000        4.61496        4.61520        3.89951        0.06250
            0.2      0001/0400      0032/0090      0.01000        4.61323        4.61351        4.68130        0.00000
            0.2      0001/0400      0033/0090      0.01000        4.61319        4.61342        3.87996        0.09375
            0.2      0001/0400      0034/0090      0.01000        4.61158        4.61183        4.00333        0.09375
            0.2      0001/0400      0035/0090      0.01000        4.61022        4.61049        4.38527        0.09375
            0.2      0001/0400      0036/0090      0.01000        4.61671        4.61698        4.43638        0.03125
            0.2      0001/0400      0037/0090      0.01000        4.61314        4.61338        3.87229        0.18750
            0.2      0001/0400      0038/0090      0.01000        4.60981        4.61009        4.53589        0.06250
            0.2      0001/0400      0039/0090      0.01000        4.61390        4.61414        3.96214        0.03125
            0.3      0001/0400      0040/0090      0.01000        4.61117        4.61141        3.93015        0.03125
            0.3      0001/0400      0041/0090      0.01000        4.61427        4.61449        3.69129        0.03125
            0.3      0001/0400      0042/0090      0.01000        4.61476        4.61497        3.48980        0.06250
            0.3      0001/0400      0043/0090      0.01000        4.61601        4.61622        3.44401        0.06250
            0.3      0001/0400      0044/0090      0.01000        4.61428        4.61449        3.47987        0.12500
            0.3      0001/0400      0045/0090      0.01000        4.61035        4.61066        5.14666        0.09375
            0.3      0001/0400      0046/0090      0.01000        4.61239        4.61266        4.30305        0.06250
            0.3      0001/0400      0047/0090      0.01000        4.61187        4.61219        5.18296        0.03125
            0.3      0001/0400      0048/0090      0.01000        4.61180        4.61201        3.47307        0.12500
            0.3      0001/0400      0049/0090      0.01000        4.61218        4.61242        3.96386        0.06250
            0.3      0001/0400      0050/0090      0.01000        4.61190        4.61213        3.77473        0.15625
            0.3      0001/0400      0051/0090      0.01000        4.61136        4.61161        4.09283        0.06250
            0.3      0001/0400      0052/0090      0.01000        4.61106        4.61128        3.65303        0.09375
            0.3      0001/0400      0053/0090      0.01000        4.60771        4.60798        4.47291        0.06250
            0.3      0001/0400      0054/0090      0.01000        4.61242        4.61270        4.59250        0.03125
            0.3      0001/0400      0055/0090      0.01000        4.60824        4.60853        4.67521        0.00000
            0.3      0001/0400      0056/0090      0.01000        4.60830        4.60853        3.76674        0.00000
            0.3      0001/0400      0057/0090      0.01000        4.60963        4.60988        4.15551        0.03125
