           time          epoch      iteration  learning_rate   nll_joint_tr   nll_class_tr      cat_ce_tr         acc_tr
            0.0      0000/0400      0000/0090      0.01000        4.58621        4.58651        4.96954        0.09375
            0.0      0000/0400      0001/0090      0.01000        4.58611        4.58645        5.63503        0.03125
            0.0      0000/0400      0002/0090      0.01000        4.58766        4.58796        4.97199        0.06250
            0.0      0000/0400      0003/0090      0.01000        4.58616        4.58649        5.32922        0.03125
            0.0      0000/0400      0004/0090      0.01000        4.58496        4.58526        4.87619        0.03125
            0.0      0000/0400      0005/0090      0.01000        4.58470        4.58497        4.31056        0.06250
            0.0      0000/0400      0006/0090      0.01000        4.58698        4.58731        5.37090        0.03125
            0.0      0000/0400      0007/0090      0.01000        4.58646        4.58674        4.61546        0.00000
            0.0      0000/0400      0008/0090      0.01000        4.58658        4.58688        4.94074        0.06250
            0.0      0000/0400      0009/0090      0.01000        4.58779        4.58808        4.80574        0.06250
            0.0      0000/0400      0010/0090      0.01000        4.58522        4.58550        4.61500        0.00000
            0.0      0000/0400      0011/0090      0.01000        4.58896        4.58924        4.48913        0.00000
            0.0      0000/0400      0012/0090      0.01000        4.58549        4.58576        4.48027        0.06250
            0.1      0000/0400      0013/0090      0.01000        4.58796        4.58821        4.24215        0.03125
            0.1      0000/0400      0014/0090      0.01000        4.58896        4.58918        3.64123        0.03125
            0.1      0000/0400      0015/0090      0.01000        4.58571        4.58598        4.31463        0.03125
            0.1      0000/0400      0016/0090      0.01000        4.58494        4.58520        4.23484        0.00000
            0.1      0000/0400      0017/0090      0.01000        4.58420        4.58445        4.08236        0.00000
            0.1      0000/0400      0018/0090      0.01000        4.58401        4.58425        3.91332        0.09375
            0.1      0000/0400      0019/0090      0.01000        4.58771        4.58794        3.86602        0.03125
            0.1      0000/0400      0020/0090      0.01000        4.58514        4.58539        4.21738        0.00000
            0.1      0000/0400      0021/0090      0.01000        4.58400        4.58423        3.78393        0.06250
            0.1      0000/0400      0022/0090      0.01000        4.58326        4.58350        4.00706        0.06250
            0.1      0000/0400      0023/0090      0.01000        4.58510        4.58536        4.25071        0.00000
            0.1      0000/0400      0024/0090      0.01000        4.58327        4.58354        4.49246        0.06250
            0.1      0000/0400      0025/0090      0.01000        4.58368        4.58392        3.94389        0.06250
            0.1      0000/0400      0026/0090      0.01000        4.58281        4.58307        4.17188        0.00000
            0.1      0000/0400      0027/0090      0.01000        4.58505        4.58530        4.14920        0.03125
            0.1      0000/0400      0028/0090      0.01000        4.58299        4.58322        3.71638        0.09375
            0.1      0000/0400      0029/0090      0.01000        4.58372        4.58395        3.63620        0.03125
            0.1      0000/0400      0030/0090      0.01000        4.58261        4.58288        4.36524        0.00000
            0.1      0000/0400      0031/0090      0.01000        4.58389        4.58414        4.10144        0.03125
            0.1      0000/0400      0032/0090      0.01000        4.58480        4.58503        3.90718        0.06250
            0.1      0000/0400      0033/0090      0.01000        4.58266        4.58290        4.03839        0.03125
            0.1      0000/0400      0034/0090      0.01000        4.58417        4.58441        3.94012        0.03125
            0.1      0000/0400      0035/0090      0.01000        4.58510        4.58535        4.05921        0.03125
            0.1      0000/0400      0036/0090      0.01000        4.58541        4.58565        4.00088        0.06250
            0.1      0000/0400      0037/0090      0.01000        4.58298        4.58322        3.90266        0.06250
            0.1      0000/0400      0038/0090      0.01000        4.58651        4.58674        3.90702        0.03125
            0.1      0000/0400      0039/0090      0.01000        4.58508        4.58530        3.73032        0.06250
            0.1      0000/0400      0040/0090      0.01000        4.58434        4.58460        4.20759        0.12500
            0.1      0000/0400      0041/0090      0.01000        4.58445        4.58468        3.75418        0.15625
            0.1      0000/0400      0042/0090      0.01000        4.58540        4.58565        4.14809        0.12500
            0.1      0000/0400      0043/0090      0.01000        4.58338        4.58367        4.67898        0.03125
            0.1      0000/0400      0044/0090      0.01000        4.58599        4.58625        4.28066        0.00000
            0.1      0000/0400      0045/0090      0.01000        4.58508        4.58534        4.21308        0.03125
            0.1      0000/0400      0046/0090      0.01000        4.58674        4.58696        3.58536        0.09375
            0.1      0000/0400      0047/0090      0.01000        4.58424        4.58448        3.93871        0.09375
            0.1      0000/0400      0048/0090      0.01000        4.58567        4.58592        4.07574        0.03125
            0.1      0000/0400      0049/0090      0.01000        4.58795        4.58821        4.17375        0.00000
            0.1      0000/0400      0050/0090      0.01000        4.58632        4.58655        3.84782        0.09375
            0.1      0000/0400      0051/0090      0.01000        4.58845        4.58870        4.08744        0.03125
            0.1      0000/0400      0052/0090      0.01000        4.58687        4.58710        3.75024        0.03125
            0.1      0000/0400      0053/0090      0.01000        4.58881        4.58903        3.49301        0.06250
            0.1      0000/0400      0054/0090      0.01000        4.59039        4.59064        4.06918        0.06250
            0.1      0000/0400      0055/0090      0.01000        4.58683        4.58711        4.64597        0.03125
            0.1      0000/0400      0056/0090      0.01000        4.59031        4.59057        4.27281        0.12500
            0.1      0000/0400      0057/0090      0.01000        4.58830        4.58858        4.61806        0.03125
            0.1      0000/0400      0058/0090      0.01000        4.58617        4.58645        4.58446        0.03125
            0.1      0000/0400      0059/0090      0.01000        4.58876        4.58899        3.75669        0.09375
            0.1      0000/0400      0060/0090      0.01000        4.58598        4.58621        3.79606        0.12500
            0.1      0000/0400      0061/0090      0.01000        4.59199        4.59223        3.84528        0.06250
            0.1      0000/0400      0062/0090      0.01000        4.58784        4.58809        3.95630        0.06250
            0.1      0000/0400      0063/0090      0.01000        4.58893        4.58914        3.55095        0.09375
            0.1      0000/0400      0064/0090      0.01000        4.58931        4.58952        3.38359        0.15625
            0.1      0000/0400      0065/0090      0.01000        4.58859        4.58885        4.25764        0.03125
            0.1      0000/0400      0066/0090      0.01000        4.59018        4.59040        3.60575        0.03125
            0.2      0000/0400      0067/0090      0.01000        4.58859        4.58883        3.94705        0.12500
            0.2      0000/0400      0068/0090      0.01000        4.58692        4.58719        4.49005        0.06250
            0.2      0000/0400      0069/0090      0.01000        4.58766        4.58792        4.24521        0.06250
            0.2      0000/0400      0070/0090      0.01000        4.58726        4.58753        4.31896        0.09375
            0.2      0000/0400      0071/0090      0.01000        4.58632        4.58657        4.10644        0.03125
            0.2      0000/0400      0072/0090      0.01000        4.58639        4.58663        4.00689        0.00000
            0.2      0000/0400      0073/0090      0.01000        4.58561        4.58586        4.09432        0.06250
            0.2      0000/0400      0074/0090      0.01000        4.58907        4.58929        3.58521        0.03125
            0.2      0000/0400      0075/0090      0.01000        4.58908        4.58934        4.27245        0.03125
            0.2      0000/0400      0076/0090      0.01000        4.58854        4.58880        4.12494        0.06250
            0.2      0000/0400      0077/0090      0.01000        4.59293        4.59316        3.73655        0.03125
            0.2      0000/0400      0078/0090      0.01000        4.59030        4.59055        4.04356        0.00000
            0.2      0000/0400      0079/0090      0.01000        4.58992        4.59016        3.95783        0.00000
            0.2      0000/0400      0080/0090      0.01000        4.58999        4.59020        3.45782        0.06250
            0.2      0000/0400      0081/0090      0.01000        4.58933        4.58956        3.69304        0.09375
            0.2      0000/0400      0082/0090      0.01000        4.59005        4.59031        4.40811        0.06250
            0.2      0000/0400      0083/0090      0.01000        4.58973        4.58995        3.60679        0.12500
